MPI-N02 ESTRES,,,Valor,,,,,,,,,,
Image type,Feature Class,Feature Name,A,B,C,Media,SD,CV,CV%,SE,1.96SE,IC- 100,IC+ 100
diagnostics,Versions,PyRadiomics,v3.1.0.post2+g146e3bd,v3.1.0.post2+g146e3bd,v3.1.0.post2+g146e3bd,,,,,,,,
diagnostics,Versions,Numpy,1.26.4,1.26.4,1.26.4,,,,,,,,
diagnostics,Versions,SimpleITK,2.4.0rc2.dev213,2.4.0rc2.dev213,2.4.0rc2.dev213,,,,,,,,
diagnostics,Versions,PyWavelet,1.6.0,1.6.0,1.6.0,,,,,,,,
diagnostics,Versions,Python,3.9.10,3.9.10,3.9.10,,,,,,,,
diagnostics,Configuration,Settings,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': True, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'correctMask': True}",,,,,,,,
diagnostics,Configuration,EnabledImageTypes,{'Original': {}},{'Original': {}},{'Original': {}},,,,,,,,
diagnostics,Image-original,Hash,ada92fe06f29f1e0d9e3ae4e7666300ffb5c811f,42510c827711fa66c811afd8385f6fd94c001ce0,67044e3c6949200360139f1027c5db52d36c266b,,,,,,,,
diagnostics,Image-original,Dimensionality,3D,3D,3D,,,,,,,,
diagnostics,Image-original,Spacing,"(6.5913400650024006, 6.591340065002402, 6.5913400650024006)","(6.5913400650024006, 6.591340065002402, 6.5913400650024006)","(6.5913400650024006, 6.591340065002402, 6.5913400650024006)",,,,,,,,
diagnostics,Image-original,Size,"(64, 64, 32)","(64, 64, 32)","(64, 64, 32)",,,,,,,,
diagnostics,Image-original,Mean,4.964668274,5.374839783,6.361953735,,,,,,,,
diagnostics,Image-original,Minimum,0,0,0,,,,,,,,
diagnostics,Image-original,Maximum,594,525,444,,,,,,,,
diagnostics,Mask-original,Hash,f70e2c9c9d6b278d5fecae0fa1f13d759c3bb18f,835246460da7aac2757028fefa9ef49f64575a3a,51984ac28cc4f53d0b7e61009eb5ca9c68dc9b2d,,,,,,,,
diagnostics,Mask-original,Spacing,"(6.5913400650024006, 6.591340065002402, 6.5913400650024006)","(6.5913400650024006, 6.591340065002402, 6.5913400650024006)","(6.5913400650024006, 6.591340065002402, 6.5913400650024006)",,,,,,,,
diagnostics,Mask-original,Size,"(64, 64, 32)","(64, 64, 32)","(64, 64, 32)",,,,,,,,
diagnostics,Mask-original,BoundingBox,"(26, 27, 10, 12, 12, 15)","(27, 27, 10, 10, 11, 12)","(26, 26, 12, 12, 12, 11)",,,,,,,,
diagnostics,Mask-original,VoxelNum,1014,740,727,,,,,,,,
diagnostics,Mask-original,VolumeNum,1,1,1,,,,,,,,
diagnostics,Mask-original,CenterOfMassIndex,"(31.225838264299803, 32.52859960552268, 17.225838264299803)","(31.502702702702702, 32.1972972972973, 15.687837837837838)","(31.53232462173315, 31.92847317744154, 17.620357634112793)",,,,,,,,
diagnostics,Mask-original,CenterOfMass,"(39.903387707643176, -195.42947264425388, 1383.735042857774)","(40.87574861341393, -196.9863414320925, 1385.315593782299)","(38.79455439213423, -195.65281112255664, 1387.3550836636139)",,,,,,,,
original,shape,Elongation,0.8353592622,0.8269017145,0.951682429,0.8713144686,0.06972904218,0.08002741226,8.002741226,0.03267105424,6.403526632,1.599214594,14.40626786
original,shape,Flatness,0.7735103812,0.7369887157,0.7990141426,0.7698377465,0.03117538417,0.04049604519,4.049604519,0.01653244122,3.240358479,0.80924604,7.289962998
original,shape,LeastAxisLength,69.54011792,59.49078374,60.09346278,63.04145481,5.636068859,0.0894025824,8.94025824,0.03649845143,7.15369648,1.78656176,16.09395472
original,shape,MajorAxisLength,89.90198402,80.72143096,75.20951079,81.94430859,7.422180587,0.09057591326,9.057591326,0.03697746175,7.247582502,1.810008824,16.30517383
original,shape,Maximum2DDiameterColumn,102.3251147,89.65191751,88.43210669,93.46971295,7.693217083,0.08230705798,8.230705798,0.03360171571,6.58593628,1.644769518,14.81664208
original,shape,Maximum2DDiameterRow,104.2182372,88.43210669,82.58925429,91.74653272,11.18893606,0.1219548656,12.19548656,0.04978786538,9.758421614,2.437064942,21.95390817
original,shape,Maximum2DDiameterSlice,89.65191751,79.64346503,85.94056001,85.07864752,5.059589913,0.05946956212,5.946956212,0.02427834707,4.758556026,1.188400186,10.70551224
original,shape,Maximum3DDiameter,108.3067691,93.44837363,93.44837363,98.40117213,8.578498643,0.08717882579,8.717882579,0.03559060659,6.975758892,1.742123687,15.69364147
original,shape,MeshVolume,287284.5609,209106.6964,205181.0985,233857.4519,46310.84708,0.1980302389,19.80302389,0.0808455065,15.84571927,3.957304618,35.64874317
original,shape,MinorAxisLength,75.10045504,66.74868966,71.57556991,71.14157153,4.192763069,0.05893548566,5.893548566,0.02406031127,4.715821008,1.177727557,10.60936957
original,shape,Sphericity,0.6887156803,0.7743963404,0.7337008515,0.7322709574,0.04285822355,0.05852782105,5.852782105,0.02389388289,4.683201046,1.169581059,10.53598315
original,shape,SurfaceArea,30571.65934,22000.51226,22929.25804,25167.14322,4703.428333,0.1868876532,18.68876532,0.07629656493,14.95412673,3.734638594,33.64289205
original,shape,SurfaceVolumeRatio,0.1064159496,0.1052118973,0.1117513173,0.1077930547,0.003480419151,0.03228797218,3.228797218,0.01318150944,2.583575851,0.6452213667,5.812373069
original,shape,VoxelVolume,290374.9252,211910.6949,208187.9395,236824.5199,46413.3511,0.195982034,19.5982034,0.08000933035,15.68182875,3.916374653,35.28003215
original,firstorder,10Percentile,5.904446113,7.413996892,6.348254961,6.555565989,0.7758345732,0.1183474584,11.83474584,0.04831514758,9.469768925,2.364976916,21.30451477
original,firstorder,90Percentile,13.133326,12.46850489,11.2887769,12.29686927,0.934175803,0.07596858866,7.596858866,0.03101404645,6.078753104,1.518105762,13.67561197
original,firstorder,Energy,97425.59948,74692.7113,58626.19004,76914.83361,19494.92021,0.2534611244,25.34611244,0.1034750707,20.28111386,5.064998576,45.6272263
original,firstorder,Entropy,-3.20E-16,-3.20E-16,-3.20E-16,-3.20E-16,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
original,firstorder,InterquartileRange,4.278577317,3.119802255,2.824802511,3.407727361,0.7684666203,0.2255070722,22.55070722,0.09206287673,18.04432384,4.506383385,40.59503106
original,firstorder,Kurtosis,2.370996161,2.245692403,2.118976016,2.245221527,0.126010732,0.05612396395,5.612396395,0.02291251234,4.490852418,1.121543977,10.10324881
original,firstorder,Maximum,16.7179649,14.83869791,12.61470461,14.72378914,2.054042179,0.1395049982,13.95049982,0.05695267704,11.1627247,2.787775124,25.11322452
original,firstorder,MeanAbsoluteDeviation,2.320886366,1.616218321,1.540975701,1.826026796,0.4302090871,0.2355984523,23.55984523,0.0961826654,18.85180242,4.708042814,42.41164765
original,firstorder,Mean,9.398391569,9.861910013,8.792661096,9.350987559,0.5361983463,0.05734136024,5.734136024,0.02340951229,4.588264409,1.145871615,10.32240043
original,firstorder,Median,9.225132986,9.712798554,8.723395032,9.220442191,0.4947184398,0.05365452433,5.365452433,0.02190436783,4.293256095,1.072196338,9.658708528
original,firstorder,Minimum,1.789064945,5.443595467,4.313244172,3.848634862,1.871041072,0.4861570762,48.61570762,0.1984727953,38.90066787,9.715039751,87.5163755
original,firstorder,Range,14.92889996,9.395102444,8.301460442,10.87515428,3.552978148,0.3267059994,32.67059994,0.1333771657,26.14192448,6.528675455,58.81252442
original,firstorder,RobustMeanAbsoluteDeviation,1.73561145,1.238203165,1.17564885,1.383154488,0.3068349607,0.2218370856,22.18370856,0.09056461098,17.75066375,4.433044813,39.93437232
original,firstorder,RootMeanSquared,9.802064724,10.04669579,8.980047426,9.609602648,0.5587628503,0.05814630123,5.814630123,0.02373812807,4.652673103,1.161957021,10.46730323
original,firstorder,Skewness,0.1976727962,0.1646983746,0.02172197076,0.1280310472,0.09353097302,0.7305335314,73.05335314,0.2982390653,58.4548568,14.59849634,131.5082099
original,firstorder,TotalEnergy,27899360.12,21389438.32,16788536.04,22025778.16,5582678.498,0.2534611244,25.34611244,0.1034750707,20.28111386,5.064998576,45.6272263
